Frame#,Time (sec),r hfm (mm),r lm (mm),r le (mm),r gt (mm),r wrist (mm),r elbo(mm),r shoulder,l hfm (mm),l lm (mm),l le (mm),l gt (mm),l wrist (mm),l elbow (mm),l shoulder,r asis (mm),l asis (mm),forehead (mm),r foot,r shank,r thigh,l foot,l shank,l thigh ,r forearm,r upperarm,l forearm,l upperarm,pelvis,trunk,head&neck,r foot,r shank,r thigh,l foot,l shank,l thigh,r Forearm,r Upperarm,l Forearm,l Upperarm,pelvis,trunk,head&neck,Whole Body COM (mm)
1,0.01670,47.16300,72.89165,474.82736,877.70180,820.29911,1054.27495,1395.16807,46.78952,80.84805,475.64555,879.19428,823.90353,1061.56910,1401.02178,935.47910,934.45998,1599.23170,124.07294,417.44612,403.84712,121.04506,410.39322,403.94784,252.88226,341.58897,250.80705,339.45342,104.39060,469.48987,294.37473,168.03345,74.32274,86.01143,163.66009,74.14418,87.44150,112.30477,86.33101,108.63891,89.86895,32.77763,80.54464,56.47213,
2,0.03340,47.40353,74.58713,474.83986,877.96170,819.96453,1054.51062,1395.03754,47.83783,80.84805,476.33023,879.13695,823.67076,1060.90106,1400.90728,935.98068,934.37217,1599.51334,123.07858,415.39863,404.03981,120.91408,410.95679,403.18482,253.36185,341.24083,250.34740,340.00681,103.96299,469.10251,294.34094,167.24189,74.47072,86.12587,164.15886,74.21711,87.50709,112.22924,86.28196,108.63870,89.88168,32.99888,80.58395,56.55059,
3,0.05010,47.28672,73.78516,474.75390,877.97209,820.04350,1054.58067,1395.05902,47.88787,80.84805,476.33537,879.10832,823.38836,1060.79042,1400.92781,935.99934,934.39561,1599.51506,123.63989,416.29293,404.14555,120.93846,410.94790,403.14484,253.28978,341.21245,250.44586,340.13771,103.85944,469.06087,294.24615,167.62600,74.39597,86.10664,164.18678,74.22413,87.52742,112.19465,86.22974,108.58243,89.90918,33.05583,80.61467,56.57455,
4,0.06680,47.31400,74.05889,474.62183,878.21436,820.04821,1054.60884,1395.05278,47.91074,80.84805,476.35023,879.01029,823.25746,1060.80146,1400.93862,935.97565,934.33910,1599.56376,123.42009,415.86524,404.52568,120.99924,412.69715,403.03509,253.22856,341.19720,250.51893,340.13722,103.69869,469.04926,294.22274,167.48646,74.39912,86.09639,165.01235,74.21037,87.51675,112.14658,86.18092,108.53018,89.95558,33.03966,80.65512,56.59982,
5,0.08350,47.27521,74.32087,474.68270,878.43070,820.08130,1054.62608,1395.12795,47.88693,79.20641,476.33509,878.91712,823.06676,1060.71258,1400.82677,935.93885,934.28482,1599.64560,123.18091,415.60888,404.67980,120.63944,412.63238,402.96195,253.18116,341.26925,250.53641,340.11420,103.56280,469.03397,294.25360,167.31842,74.42263,86.09993,164.96815,74.24827,87.50044,112.12973,86.14579,108.46872,89.97801,33.01788,80.68702,56.62199,
6,0.10020,47.26054,74.03538,475.03064,878.43009,820.18578,1054.66124,1395.20752,47.87852,79.17945,476.30142,878.84686,822.82245,1060.60476,1400.67729,936.22217,934.26249,1599.82215,123.32545,416.28279,404.34488,119.30963,413.09635,402.92601,253.11256,341.32488,250.58645,340.07253,103.63928,468.83576,294.12764,167.46244,74.41456,86.06996,165.19660,74.41933,87.49819,112.13320,86.11810,108.40433,89.97209,33.09983,80.70984,56.66599,
7,0.11690,47.24721,73.76198,475.52192,878.47197,820.79740,1054.72961,1395.11871,47.88606,78.36636,476.25526,878.84622,822.56856,1060.37595,1400.62693,936.49534,934.24376,1599.96836,123.47873,417.06108,403.90429,120.03224,412.71701,402.96908,252.56980,341.17309,250.55132,340.25118,103.66859,468.60781,294.01211,167.60183,74.42222,86.04959,165.02428,74.30500,87.50640,112.15755,86.10388,108.36196,89.92704,33.15961,80.73122,56.71337,
8,0.13360,47.18438,74.01317,476.20072,878.53555,820.37530,1054.77440,1395.03612,47.90356,78.90749,476.22095,878.84097,822.33996,1060.18718,1400.58676,936.52968,934.24837,1599.97602,123.32078,417.34051,403.27819,119.36312,413.10369,402.99847,253.04919,341.04741,250.51949,340.39985,103.67705,468.51571,294.01001,167.43629,74.50346,86.06907,165.21819,74.37662,87.50536,112.14381,86.09895,108.31102,89.91716,33.15016,80.73886,56.71497,
9,0.15030,47.16644,74.26404,477.09140,878.62599,820.53008,1054.77075,1395.03286,47.90958,78.36159,476.24866,878.74242,822.17851,1060.18442,1400.46119,936.60860,934.23782,1599.97025,123.18545,417.82507,402.46709,119.92083,412.45254,402.87681,252.92098,341.05738,250.58950,340.27703,103.74524,468.40240,294.02464,167.29414,74.59246,86.08780,164.87094,74.27591,87.48996,112.16765,86.07530,108.24376,89.91816,33.15078,80.74894,56.70438,
10,0.16700,47.21419,74.26404,477.83808,878.71460,820.75872,1054.79565,1395.02412,47.84364,79.21217,476.28603,878.64324,822.07995,1060.17518,1400.35461,936.64309,934.19826,1599.93818,123.15247,418.46220,401.79225,119.35795,413.21427,402.73978,252.75611,341.03790,250.60822,340.17981,103.67264,468.30954,294.09109,167.31345,74.66088,86.11979,165.16962,74.33649,87.49112,112.19830,86.04052,108.19142,89.90165,33.17881,80.77680,56.70184,
